survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family_size,is_alone,is_child,age_bin,fare_per_person,fare_bin,sex_male,sex_female,embarked_C,embarked_Q,embarked_S
0,3,male,22.0,1,0,7.25,S,Third,man,True,C,Southampton,no,False,2,0,0,young_adult,3.625,low,1,0,False,False,True
1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,2,0,0,adult,35.64165,high,0,1,True,False,False
1,3,female,26.0,0,0,7.925,S,Third,woman,False,C,Southampton,yes,True,1,1,0,young_adult,7.925,mid_low,0,1,False,False,True
1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,2,0,0,young_adult,26.55,high,0,1,False,False,True
0,3,male,35.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,8.05,mid_low,1,0,False,False,True
0,3,male,28.0,0,0,8.4583,Q,Third,man,True,C,Queenstown,no,True,1,1,0,young_adult,8.4583,mid_low,1,0,False,True,False
0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,1,1,0,adult,51.8625,high,1,0,False,False,True
0,3,male,2.0,3,1,21.075,S,Third,child,False,C,Southampton,no,False,5,0,1,child,4.215,mid_high,1,0,False,False,True
1,3,female,27.0,0,2,11.1333,S,Third,woman,False,C,Southampton,yes,False,3,0,0,young_adult,3.7111,mid_low,0,1,False,False,True
1,2,female,14.0,1,0,30.0708,C,Second,child,False,C,Cherbourg,yes,False,2,0,1,teen,15.0354,mid_high,0,1,True,False,False
1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,3,0,1,child,5.566666666666666,mid_high,0,1,False,False,True
1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,1,1,0,adult,26.55,mid_high,0,1,False,False,True
0,3,male,20.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,1,0,young_adult,8.05,mid_low,1,0,False,False,True
0,3,male,39.0,1,5,31.275,S,Third,man,True,C,Southampton,no,False,7,0,0,adult,4.4678571428571425,high,1,0,False,False,True
0,3,female,14.0,0,0,7.8542,S,Third,child,False,C,Southampton,no,True,1,1,1,teen,7.8542,low,0,1,False,False,True
1,2,female,55.0,0,0,16.0,S,Second,woman,False,C,Southampton,yes,True,1,1,0,adult,16.0,mid_high,0,1,False,False,True
0,3,male,2.0,4,1,29.125,Q,Third,child,False,C,Queenstown,no,False,6,0,1,child,4.854166666666667,mid_high,1,0,False,True,False
1,2,male,28.0,0,0,13.0,S,Second,man,True,C,Southampton,yes,True,1,1,0,young_adult,13.0,mid_low,1,0,False,False,True
0,3,female,31.0,1,0,18.0,S,Third,woman,False,C,Southampton,no,False,2,0,0,young_adult,9.0,mid_high,0,1,False,False,True
1,3,female,28.0,0,0,7.225,C,Third,woman,False,C,Cherbourg,yes,True,1,1,0,young_adult,7.225,low,0,1,True,False,False
0,2,male,35.0,0,0,26.0,S,Second,man,True,C,Southampton,no,True,1,1,0,young_adult,26.0,mid_high,1,0,False,False,True
